year,Number of Colonies,Yield Per Colony,Total Production,Stocks,Price Per Pound,Production Value
1998,2621000.0,3008,219519000.0,80565000.0,35.8,146091000.0
1999,2637000.0,2815,202387000.0,78390000.0,34.58,123657000.0
2000,2604000.0,2906,219558000.0,84956000.0,34.03,131568000.0
2001,2542000.0,2840,185748000.0,64764000.0,40.12,132282000.0
2002,2565000.0,2939,171265000.0,39177000.0,60.339999999999996,227302000.0
2003,2591000.0,2752,181372000.0,40619000.0,65.77,252079000.0
2004,2539000.0,2657,182729000.0,60981000.0,52.67,197307000.0
2005,2394000.0,2635,173969000.0,62187000.0,49.0,160793000.0
2006,2378000.0,2536,154238000.0,60235000.0,53.45,157924000.0
2007,2428000.0,2426,147621000.0,52405000.0,58.97,161356000.0
2008,2326000.0,2501,162972000.0,50996000.0,66.65,229992000.0
2009,2472000.0,2154,145068000.0,37322000.0,72.48,213920000.0
2010,2666000.0,2251,175294000.0,44797000.0,77.16,278370000.0
2011,2466000.0,2191,147201000.0,36550000.0,86.69,258688000.0
2012,2509000.0,2207,140907000.0,31662000.0,94.67999999999999,280725000.0
2013,2640000.0,2105,149499000.0,38160000.0,105.51,320078000.0
2014,2709000.0,2294,176866000.0,40990000.0,112.5,383514000.0
2015,2630000.0,2213,155376000.0,41832000.0,117.05,322505000.0
2016,2740000.0,2163,160357000.0,40837000.0,116.77,335285000.0
2017,2635000.0,2127,146165000.0,30393000.0,119.55,317502000.0
2018,2767000.0,2035,150949000.0,28777000.0,120.47,324883000.0
2019,2782000.0,2042,155504000.0,40671000.0,114.82,297120000.0
