year,CO2,Fossil Fuel Combustion,Transportation,Electric Power ,Industrial,Residential,Commercial,U.S. Territories,Non-Energy Use of Fuels,Petroleum Systems,Iron and Steel Production & Metallurgical Coke Production,Cement Production,Natural Gas Systems,Petrochemical Production,Ammonia Production,Lime Production,Incineration of Waste,Other Process Uses of Carbonates,Urea Consumption for Non-Agricultural Purposes,Urea Fertilization,Carbon Dioxide Consumption,Liming,Aluminum Production,Soda Ash Production,Ferroalloy Production,Titanium Dioxide Production,Glass Production,Zinc Production,Phosphoric Acid Production,Lead Production,Carbide Production and Consumption,Abandoned Oil and Gas Wells,Magnesium Production and Processing,"Wood Biomass, Ethanol, and Biodiesel Consumption a",International Bunker Fuels b,CH4 c,Enteric Fermentation,Natural Gas Systems,Landfills,Manure Management,Coal Mining,Petroleum Systems,Wastewater Treatment,Rice Cultivation,Stationary Combustion,Abandoned Oil and Gas Wells,Abandoned Underground Coal Mines,Mobile Combustion,Composting,Field Burning of Agricultural Residues,Petrochemical Production,Anaerobic Digestion at Biogas Facilities,Ferroalloy Production,Carbide Production and Consumption,Iron and Steel Production & Metallurgical Coke Production,Incineration of Waste,International Bunker Fuels b,N2O c,Agricultural Soil Management,Wastewater Treatment,Stationary Combustion,Manure Management,Mobile Combustion,Nitric Acid Production,Adipic Acid Production,N2O from Product Uses,Composting,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",Incineration of Waste,Electronics Industry,Field Burning of Agricultural Residues,Petroleum Systems,Natural Gas Systems,International Bunker Fuels b,HFCs,Substitution of Ozone Depleting Substances d,HCFC-22 Production,Electronics Industry,Magnesium Production and Processing,PFCs,Electronics Industry,Aluminum Production,Substitution of Ozone Depleting Substances d,SF6,Electrical Transmission and Distribution,Magnesium Production and Processing,Electronics Industry,NF3,Electronics Industry,"Unspecified Mix of HFCs, PFCs, SF6, and NF3",Electronics Industry
1990,"5,113,455","4,731,466","1,469,116","1,819,951","853,808","338,578","228,298","21,715","112,766","9,709","104,732","33,484","32,042","21,611","13,047","11,700","8,062","6,297","3,784","2,417","1,472","4,667","6,831","1,431","2,152","1,195","1,535",632,"1,529",516,370,6,1,"219,413","103,463","31,075","6,588","7,478","7,063","1,485","3,860","1,955",806,640,344,271,288,256,15,15,9,1,1,1,1,,7,"1,519","1,060",63,84,47,150,41,51,14,1,6,2,,1,,,3,,,3,,0,,,,,1,1,,,,,,
1991,"5,057,931","4,680,858","1,422,498","1,817,359","839,111","347,719","232,665","21,505","118,155","10,000","95,209","32,736","31,131","23,053","13,279","11,539","8,066","5,675","3,501","2,313","1,469","5,009","6,945","1,431","1,929","1,211","1,439",809,"1,398",485,283,6,1,"220,165","117,569","31,271","6,597","7,610","7,155","1,555","3,730","1,950",819,645,351,273,294,250,17,14,9,1,1,1,1,,7,"1,487","1,022",64,84,48,157,41,50,14,1,5,1,,1,,,3,,,3,,0,,,,0,1,1,,,,,,
1992,"5,167,481","4,779,991","1,477,783","1,830,688","866,425","353,989","228,049","23,059","124,568","9,962","95,988","32,993","30,994","23,660","13,683","11,927","9,606","5,619","3,863","2,448","1,463","4,415","6,804","1,451","1,957","1,392","1,540",843,"1,509",488,309,7,1,"230,609","107,863","31,221","6,788","7,534","7,143","1,500","3,628","1,896",834,646,362,275,317,252,20,15,9,1,1,1,1,,6,"1,487","1,015",66,85,48,166,42,44,13,1,6,1,,1,,,3,,,3,,0,,,,0,1,1,,,,,,
1993,"5,267,343","4,893,308","1,508,743","1,906,172","865,292","366,091","222,991","24,020","113,501","10,021","91,643","34,838","30,792","24,606","13,205","12,279","9,868","5,234","4,568","2,637","1,470","3,785","6,211","1,412","1,904","1,416","1,626",931,"1,304",486,292,7,1,"225,797","97,829","30,828","6,884","7,638","7,064","1,569","3,091","1,819",835,684,339,277,328,248,25,15,11,1,1,1,1,,5,"1,582","1,094",67,87,47,173,42,47,15,2,6,1,,1,,,3,,,3,,0,,,,0,1,1,,,,,,
1994,"5,358,824","4,964,870","1,554,070","1,930,468","872,851","357,050","224,700","25,732","124,026","10,274","94,524","36,310","30,685","26,573","14,151","12,736","10,956","5,636","4,268","2,683","1,476","4,141","5,539","1,422","2,021","1,526","1,735",918,"1,519",507,320,7,1,"232,298","96,689","31,081","7,008","7,672","7,053","1,678","3,104","1,790",843,629,331,278,387,246,31,15,12,1,1,1,1,,5,"1,534","1,031",68,89,50,180,45,45,15,2,6,1,,1,,,3,,,3,,0,,,,,1,1,,,,,,
1995,"5,421,502","5,022,522","1,580,796","1,947,173","889,939","353,134","227,789","23,691","121,447","10,739","98,393","37,075","28,664","27,949","13,541","13,538","11,389","7,552","4,255","2,657","1,477","4,392","5,659","1,607","2,036","1,526","1,823",865,"1,513",553,322,7,1,"236,907","98,492","30,708","7,165","7,315","6,868","1,731","3,056","1,769",834,660,331,280,392,243,35,12,12,1,1,1,1,,5,"1,573","1,051",69,90,51,185,45,57,15,3,7,1,,,,,3,,,3,,0,,,,,1,1,,,,,,
1996,"5,610,582","5,214,331","1,627,475","2,020,243","922,940","383,474","237,558","22,641","118,574","11,153","96,354","37,309","26,872","29,096","13,836","14,242","12,071","8,174","3,859","2,587","1,486","4,368","5,987","1,587","2,133","1,514","1,677",925,"1,551",563,325,7,2,"241,332","99,750","30,432","7,117","7,229","6,733","1,696","3,038","1,782",826,670,344,281,403,239,40,17,13,1,1,1,1,,5,"1,613","1,081",70,92,51,189,47,56,15,3,6,1,,1,,,3,,,3,,0,,,,,1,1,,,,,,
1997,"5,686,465","5,274,912","1,643,618","2,087,520","917,785","365,033","237,819","23,137","129,352","11,559","97,590","38,561","26,618","30,493","14,028","14,498","12,051","7,765","3,931","2,691","1,484","4,280","6,019","1,665","2,226","1,677","1,618",971,"1,544",585,339,7,2,"235,579","106,961","29,870","6,982","7,242","6,358","1,772","3,017","1,792",830,615,311,281,360,232,44,16,14,1,1,1,1,,5,"1,567","1,050",70,94,51,193,48,32,16,3,7,1,,1,,,3,,,3,,0,,,,,1,1,,,,,,
1998,"5,731,050","5,320,581","1,679,024","2,176,555","890,758","331,610","220,118","22,516","134,503","11,476","91,130","39,461","24,380","30,851","14,143","14,792","10,996","8,085","4,844","2,947","1,481","4,721","6,191","1,607","2,218","1,662","1,543",885,"1,593",588,364,7,2,"218,236","110,491","29,267","6,908","7,013","5,979","1,913","3,029","1,712",831,683,285,282,329,223,48,15,14,1,1,1,1,,6,"1,569","1,063",72,95,52,194,48,17,16,4,7,1,,1,,,3,,,3,,0,,,,,1,1,,,,,,
1999,"5,804,669","5,371,982","1,746,445","2,189,666","843,186","350,907","220,730","21,048","157,907","10,895","89,012","40,239","24,932","32,301","12,948","14,425","11,174","8,887","4,650","3,016","1,479","4,458","6,286","1,548","2,185","1,693","1,357",865,"1,539",587,294,7,2,"221,493","102,733","28,534","6,914","6,769","5,715","1,914","2,848","1,638",835,707,291,283,332,201,53,15,13,2,1,1,1,,5,"1,535","1,036",74,95,54,186,46,16,16,4,7,1,,1,,,3,,,3,,0,,,,,1,1,,,,,,
2000,"6,010,508","5,608,609","1,792,301","2,296,172","869,536","371,703","236,530","42,367","129,105","11,032","90,457","41,445","25,143","31,571","12,171","14,282","11,320","6,007","4,231","3,214","1,478","4,328","6,086","1,529","1,893","1,752","1,686",944,"1,382",594,242,7,2,"227,435","101,795","28,303","6,840","6,762","5,587","1,920","2,730","1,649",832,759,308,284,350,193,60,14,12,2,1,1,1,,4,"1,492",988,75,100,55,182,45,18,16,4,7,1,,1,,,3,,,2,,0,,,,,1,1,,,,,,
