,year,Number of Colonies,Yield Per Colony,Total Production,Stocks,Price Per Pound,Production Value,CO2,Fossil Fuel Combustion,Transportation,Electric Power ,Industrial,Residential,Commercial,U.S. Territories,Non-Energy Use of Fuels,Petroleum Systems,Iron and Steel Production & Metallurgical Coke Production,Cement Production,Natural Gas Systems,Petrochemical Production,Ammonia Production,Lime Production,Incineration of Waste,Other Process Uses of Carbonates,Urea Consumption for Non-Agricultural Purposes,Urea Fertilization,Carbon Dioxide Consumption,Liming,Aluminum Production,Soda Ash Production,Ferroalloy Production,Titanium Dioxide Production,Glass Production,Zinc Production,Phosphoric Acid Production,Lead Production,Carbide Production and Consumption,Abandoned Oil and Gas Wells,Magnesium Production and Processing,"Wood Biomass, Ethanol, and Biodiesel Consumption a",International Bunker Fuels b,CH4 c,Enteric Fermentation,Natural Gas Systems.1,Landfills,Manure Management,Coal Mining,Petroleum Systems.1,Wastewater Treatment,Rice Cultivation,Stationary Combustion,Abandoned Oil and Gas Wells.1,Abandoned Underground Coal Mines,Mobile Combustion,Composting,Field Burning of Agricultural Residues,Petrochemical Production.1,Anaerobic Digestion at Biogas Facilities,International Bunker Fuels b.1,N2O c,Agricultural Soil Management,Wastewater Treatment.1,Stationary Combustion.1,Manure Management.1,Mobile Combustion.1,Nitric Acid Production,Adipic Acid Production,N2O from Product Uses,Composting.1,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",Incineration of Waste.2,International Bunker Fuels b.2
0,1998,2621000.0,3008.0,219519000.0,80565000.0,35.8,146091000.0,5731050,5320581,1679024,2176555,890758,331610,220118,22516,134503,11476,91130,39461,24380,30851,14143,14792,10996,8085,4844,2947,1481,4721,6191,1607,2218,1662,1543,885,1593,588,364,7,2,218236,110491,29267,6908,7013,5979,1913,3029,1712,831,683,285,282,329,223,48,15,14,1,6,1569,1063,72,95,52,194,48,17,16,4,7,1,3
1,1999,2637000.0,2815.0,202387000.0,78390000.0,34.58,123657000.0,5804669,5371982,1746445,2189666,843186,350907,220730,21048,157907,10895,89012,40239,24932,32301,12948,14425,11174,8887,4650,3016,1479,4458,6286,1548,2185,1693,1357,865,1539,587,294,7,2,221493,102733,28534,6914,6769,5715,1914,2848,1638,835,707,291,283,332,201,53,15,13,2,5,1535,1036,74,95,54,186,46,16,16,4,7,1,3
2,2000,2604000.0,2906.0,219558000.0,84956000.0,34.03,131568000.0,6010508,5608609,1792301,2296172,869536,371703,236530,42367,129105,11032,90457,41445,25143,31571,12171,14282,11320,6007,4231,3214,1478,4328,6086,1529,1893,1752,1686,944,1382,594,242,7,2,227435,101795,28303,6840,6762,5587,1920,2730,1649,832,759,308,284,350,193,60,14,12,2,4,1492,988,75,100,55,182,45,18,16,4,7,1,3
3,2001,2542000.0,2840.0,185748000.0,64764000.0,40.12,132282000.0,5904882,5530665,1762572,2257204,866807,363053,228457,52572,122713,11119,79780,41613,24806,27630,9223,13722,11620,6033,4072,3414,894,4411,4382,1500,1459,1697,1386,713,1264,563,194,7,3,203427,93782,27993,6800,6813,5415,1983,2720,1657,822,617,289,286,319,185,60,15,8,2,4,1545,1063,74,99,54,175,36,15,16,5,6,1,3
4,2002,2565000.0,2939.0,171265000.0,39177000.0,60.34,227302000.0,5946771,5567973,1803118,2272227,853269,361082,229007,49269,125412,11241,75772,43164,25324,28676,10487,13169,12057,6489,3700,3572,1047,4976,4491,1470,1349,1824,1741,746,1338,561,178,7,3,204703,94500,27713,6811,6689,5364,2012,2552,1618,822,708,292,287,293,176,61,17,8,2,4,1540,1055,76,103,56,168,39,17,14,5,7,1,3
5,2003,2591000.0,2752.0,181372000.0,40619000.0,65.77,252079000.0,6011837,5644298,1812082,2303678,853185,380126,240136,55090,119350,11485,72655,43349,24938,28452,8802,13907,12330,5054,3558,3685,1365,4575,4502,1509,1305,1839,1623,1096,1382,574,197,7,3,209935,98386,27709,6818,6642,5459,2024,2559,1656,815,589,302,287,286,169,69,20,8,2,4,1543,1059,76,107,56,161,37,18,14,5,7,1,3
6,2004,2539000.0,2657.0,182729000.0,60981000.0,52.67,197307000.0,6114007,5721277,1845324,2335083,877079,369060,237976,56755,136788,11759,72238,45886,25059,30671,9554,14613,12616,6900,3673,3653,1259,3902,4231,1607,1419,2064,1642,1030,1395,546,218,7,2,225419,108507,27480,6691,6630,5365,1956,2611,1654,807,624,310,287,276,166,74,17,7,2,5,1577,1102,77,111,54,154,37,12,14,6,7,1,3
7,2005,2394000.0,2635.0,173969000.0,62187000.0,49.0,160793000.0,6134521,5753507,1858648,2400057,852895,358898,227130,55879,129135,12059,70076,46194,25179,27383,9177,14552,12713,7644,3653,3504,1375,4349,4142,1655,1392,1755,1928,1030,1342,553,213,7,3,230700,113232,27445,6772,6567,5255,2062,2565,1579,803,720,313,287,264,158,75,17,3,2,5,1530,1052,77,115,55,139,38,24,14,6,7,1,3
8,2006,2378000.0,2536.0,154238000.0,60235000.0,53.45,157924000.0,6051668,5667213,1859216,2344396,875747,321726,211807,54321,127135,12247,72766,46851,25569,27627,8764,15243,12761,8560,3519,3656,1758,4220,3801,1626,1505,1836,2050,1030,1160,560,201,7,3,236298,114186,27632,6881,6708,5171,2063,2622,1703,799,590,294,287,261,156,75,15,2,3,5,1518,1036,79,114,57,137,37,29,14,6,7,1,3
9,2007,2428000.0,2426.0,147621000.0,52405000.0,58.97,161356000.0,6131004,5754027,1860822,2411137,867449,341171,223085,50362,116110,12487,74521,45509,25881,28072,9060,14721,12970,8626,4944,3757,1922,4464,4251,1675,1552,1930,1536,1025,1203,562,190,7,3,244574,115378,27756,6998,6610,5087,2240,2591,1697,796,637,310,288,254,147,79,16,2,3,5,1556,1072,79,116,58,122,44,34,14,6,7,1,3
